"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"POMU",21,20,8,"No","Avg",NA,NA,NA,NA,0.395074839820405,-0.0040750944170317,4.8509727991445e-08,-1.05458101991907,6.150111894121e-05,0,0,0,0,0,0,0
"PTAQ",21,47,20,"No","Unavg","Mod.15",1.71809594080082,0.297538290292152,0.106773568606806,-2.26853623956935,0.00306569929460853,-2.40335146705886e-06,-1.35068393076276,0.000456906837357565,NA,NA,NA,NA,NA,NA,NA
"PTAQ",21,47,20,"No","Unavg","Mod.7",0,0.702461709707848,0.106145766913358,-2.38668085835423,0.00320134104556344,-2.39823704526659e-06,-0.966134001953554,NA,NA,NA,NA,NA,NA,NA,NA
"PTAQ",21,47,20,"No","Avg",NA,NA,NA,NA,-2.35152831047376,0.00316098243089208,-2.3997587815825e-06,-1.08055233030342,0.000135947279210164,0,0,0,0,0,0,0
"RHAL",21,24,13,"No","Unavg","Mod.11",1.79291714198172,0.222630626024767,0.147997596997905,-5.76060749035456,0.00232653668633707,NA,-1.37305925271154,0.000437297294532417,NA,NA,NA,NA,NA,NA,NA
"RHAL",21,24,13,"No","Unavg","Mod.2",1.71286677224163,0.23172219005153,0.134641455088918,-6.25538190628555,0.00245606101466476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHAL",21,24,13,"No","Unavg","Mod.3",0,0.545647183923703,0.147292019554445,-5.98670354400531,0.00247405839209641,NA,-0.685741925420055,NA,NA,NA,NA,NA,NA,NA,NA
"RHAL",21,24,13,"No","Avg",NA,NA,NA,NA,-5.99862637656635,0.00243704515067732,0,-0.67985819150414,9.7355770440689e-05,0,0,0,0,0,0,0
"RULA",21,18,13,"No","Unavg","Mod.6",0,0.634836247415664,0.176147490552388,-22.3592273675793,0.028506143294369,-9.91924409111199e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",21,18,13,"No","Unavg","Mod.7",1.10604239471718,0.365163752584336,0.179624157651784,-22.2258820451735,0.0285537695940669,-9.93584473990013e-06,-0.359467289969285,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",21,18,13,"No","Avg",NA,NA,NA,NA,-22.31053448926,0.0285235346926884,-9.9253060463188e-06,-0.131264424536506,0,0,0,0,0,0,0,0
"RUPA",21,33,22,"No","Unavg","Mod.15",1.93187501361791,0.148312699683089,0.110447633886133,-5.77199336259122,0.0097556592641196,-5.60131244577221e-06,-0.210671706095959,-0.000282254646120584,NA,NA,NA,NA,NA,NA,NA
