"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"GASH",11,21,20,"No","Unavg",0.208605317854555,-4.10504174845098,-54.0564600534547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",11,20,41,"No","Unavg",0.103988147692594,-3.38662361878201,-34.0812807515369,-15.6215040993405,0.815050889959715,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",11,17,24,"No","Unavg",0.0680524570158973,-3.31435019046757,-30.1084924141812,-20.8263270552541,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",11,12,10,"No","Unavg",0.0615916368404338,-3.80303587763911,-23.7884635105586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",11,17,9,"No","Unavg",0.15634639106767,-4.78206510537983,-76.6638873307292,-21.6019636065179,-0.680270195721213,NA,NA,NA,NA,NA,NA,NA,NA
"LIBO",11,48,66,"No","Unavg",0.199867339094985,-3.57437908600905,-78.4092123920559,-41.28271643868,0.441297436618685,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",11,61,55,"No","Unavg",0.259962325082535,-4.79044697614971,-129.372555728455,-53.037530108803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",11,26,17,"No","Unavg",0.0453164226106809,-2.61930086176513,7.07833882444432,-4.88207782983456,-0.872519776294516,0.818056019618973,-26.7206290872232,NA,NA,NA,NA,NA,NA
"OPHO",11,29,16,"No","Unavg",0.146147908802004,-3.14102964885332,-39.2098281640496,-3.4014068444593,-1.59490354980409,-22.4382714950688,-56.2008980589009,NA,NA,NA,NA,NA,NA
"PAMY",11,127,112,"Yes","Unavg",0.0468143850326433,-0.70133685832804,-11.2827048881857,-9.96503042556461,NA,NA,NA,0.788150553024452,-0.306319924213531,NA,NA,NA,NA
"POMU",11,20,9,"No","Unavg",0.191532427466599,-3.94952734988265,-49.0417010644703,NA,-0.884907987515454,NA,NA,NA,NA,NA,NA,NA,NA
"PTAQ",11,47,20,"No","Unavg",0.110531035667465,-2.36908879942628,-32.3385576464581,-13.9087868718219,-0.968123061156307,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",11,18,11,"No","Unavg",0.180828313858538,-5.52783003688162,77.07742531356,-60.0556499922589,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",11,33,20,"No","Unavg",0.109137436564715,-3.1126198653841,-42.1302601963404,-30.425777027407,-0.555481359410175,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",11,23,20,"No","Unavg",0.0406446393914431,-2.97073469709174,7.68834251119002,-18.135886140774,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",11,15,21,"No","Unavg",0.0510996343245471,-3.19177827539816,-19.905963205843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",11,48,24,"No","Unavg",0.144768714988829,-2.56544567121278,36.7228781801242,-23.640853944217,-0.818695028806081,NA,NA,NA,NA,NA,NA,NA,NA
"SPBE",11,17,31,"No","Unavg",0.113817085407474,-3.81448445596128,-44.2501925172932,-18.7131070335277,0.671390771648353,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",11,34,38,"No","Unavg",0.0506791715964326,-2.45091530134469,-20.8310446802844,-10.5753302941412,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",11,10,23,"No","Unavg",0.185730968707894,-6.12802843635759,-103.144931408981,-34.9290804143691,0.917734474388993,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",11,95,116,"Yes","Unavg",0.104911012729637,-1.26426783941622,11.8086619597237,-22.9570452669029,NA,NA,NA,-1.89055580830035,0.399224213442353,52.5178326006512,-5.47048881679518,NA,NA
"VASI",11,24,27,"No","Unavg",0.17132655397749,-3.75475572334279,52.574993141479,-16.3901237029633,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",12,72,55,"No","Unavg",0.244821931357507,-3.35546682750306,-91.3269590594357,-33.8566570744107,-0.390057962559289,NA,NA,NA,NA,NA,NA,NA,NA
